country,country_code,year,marriage_rate
Finland,FIN,2012,5.3
Finland,FIN,2013,4.6
Finland,FIN,2014,4.5
Finland,FIN,2015,4.5
Finland,FIN,2016,4.5
Finland,FIN,2017,4.8
Finland,FIN,2018,4.3
Finland,FIN,2019,4.0
Finland,FIN,2020,4.0
Finland,FIN,2021,3.5
Finland,FIN,2022,3.9
France,FRA,2000,5.0
France,FRA,2001,4.8
France,FRA,2002,4.6
France,FRA,2003,4.6
France,FRA,2004,4.5
France,FRA,2005,4.5
France,FRA,2006,4.3
France,FRA,2007,4.3
France,FRA,2008,4.1
France,FRA,2009,3.9
France,FRA,2010,3.9
France,FRA,2011,3.6
France,FRA,2012,3.7
France,FRA,2013,3.6
France,FRA,2014,3.6
France,FRA,2015,3.6
France,FRA,2016,3.5
France,FRA,2017,3.5
France,FRA,2018,3.5
France,FRA,2019,3.3
France,FRA,2020,2.3
France,FRA,2021,3.3908895638535532
France,FRA,2022,3.6
Germany,DEU,2000,5.1
Germany,DEU,2001,4.7
Germany,DEU,2002,4.6
Germany,DEU,2003,4.6
Germany,DEU,2004,4.8
Germany,DEU,2005,4.7
Germany,DEU,2006,4.5
Germany,DEU,2007,4.5
Germany,DEU,2008,4.6
Germany,DEU,2009,4.6
Germany,DEU,2010,4.7
Germany,DEU,2011,4.6
Germany,DEU,2012,4.8
Germany,DEU,2013,4.6
Germany,DEU,2014,4.8
Germany,DEU,2015,4.9
Germany,DEU,2016,5.0
Germany,DEU,2017,4.9
Germany,DEU,2018,5.4
Germany,DEU,2019,5.0
Germany,DEU,2020,4.5
Germany,DEU,2021,4.3
Germany,DEU,2022,4.7
Greece,GRC,2000,4.5
Greece,GRC,2001,5.3
Greece,GRC,2002,5.3
Greece,GRC,2003,5.5
Greece,GRC,2004,4.6
Greece,GRC,2005,5.5
Greece,GRC,2006,5.2
Greece,GRC,2007,5.5
Greece,GRC,2008,4.8
Greece,GRC,2009,5.3
Greece,GRC,2010,5.1
Greece,GRC,2011,5.0
Greece,GRC,2012,4.5
Greece,GRC,2013,4.7
Greece,GRC,2014,4.9
Greece,GRC,2015,5.0
Greece,GRC,2016,4.6
Greece,GRC,2017,4.7
Greece,GRC,2018,4.4
Greece,GRC,2019,4.4
Greece,GRC,2020,2.9
Greece,GRC,2021,3.9
Greece,GRC,2022,4.2
Hungary,HUN,2000,4.7
Hungary,HUN,2001,4.3
Hungary,HUN,2002,4.5
Hungary,HUN,2003,4.5
Hungary,HUN,2004,4.3
Hungary,HUN,2005,4.4
Hungary,HUN,2006,4.4
Hungary,HUN,2007,4.1
Hungary,HUN,2008,4.0
Hungary,HUN,2009,3.7
Hungary,HUN,2010,3.6
Hungary,HUN,2011,3.6
Hungary,HUN,2012,3.6
Hungary,HUN,2013,3.7
Hungary,HUN,2014,3.9
Hungary,HUN,2015,4.7
Hungary,HUN,2016,5.3
Hungary,HUN,2017,5.2
Hungary,HUN,2018,5.2
Hungary,HUN,2019,6.7
Hungary,HUN,2020,6.9
Hungary,HUN,2021,7.4
Hungary,HUN,2022,6.6
Iceland,ISL,2000,6.3
Iceland,ISL,2001,5.2
Iceland,ISL,2002,5.6
Iceland,ISL,2003,5.1
Iceland,ISL,2004,5.0
Iceland,ISL,2005,5.4
Iceland,ISL,2006,5.5
Iceland,ISL,2007,5.5
Iceland,ISL,2008,5.2
Iceland,ISL,2009,4.6
Iceland,ISL,2010,4.9
Iceland,ISL,2011,4.6
Iceland,ISL,2012,4.6
Iceland,ISL,2013,4.4
Iceland,ISL,2014,4.1
Iceland,ISL,2015,4.6
Iceland,ISL,2016,4.9
Iceland,ISL,2017,5.8
Iceland,ISL,2018,6.0
Iceland,ISL,2019,5.8
Iceland,ISL,2020,5.0
Ireland,IRL,2000,5.0
Ireland,IRL,2001,5.0
Ireland,IRL,2002,5.2
Ireland,IRL,2003,5.1
Ireland,IRL,2004,5.2
Ireland,IRL,2005,5.1
Ireland,IRL,2006,5.2
Ireland,IRL,2007,5.2
Ireland,IRL,2008,4.9
Ireland,IRL,2009,4.8
Ireland,IRL,2010,4.5
Ireland,IRL,2011,4.3
Ireland,IRL,2012,4.5
Ireland,IRL,2013,4.5
Ireland,IRL,2014,4.7
Ireland,IRL,2015,4.7
Ireland,IRL,2016,4.8
Ireland,IRL,2017,4.6
Ireland,IRL,2018,4.3
Ireland,IRL,2019,4.1
Ireland,IRL,2020,1.9
Ireland,IRL,2021,3.3
Israel,ISR,2000,6.4
Israel,ISR,2001,6.3
Israel,ISR,2002,6.2
Israel,ISR,2003,6.1
Israel,ISR,2004,5.9
Israel,ISR,2005,5.9
Israel,ISR,2006,6.3
Israel,ISR,2007,6.5
Israel,ISR,2008,6.8
Israel,ISR,2009,6.5
Israel,ISR,2010,6.3
Israel,ISR,2011,6.6
Israel,ISR,2012,6.4
Israel,ISR,2013,6.5
Israel,ISR,2014,6.2
Israel,ISR,2015,6.4
Israel,ISR,2016,6.2
Israel,ISR,2017,5.7
Israel,ISR,2018,5.6
Israel,ISR,2019,5.3
Israel,ISR,2020,4.304075437576698
Israel,ISR,2021,5.4591135089389615
Italy,ITA,2000,5.0
Italy,ITA,2001,4.6
Italy,ITA,2002,4.7
Italy,ITA,2003,4.6
Italy,ITA,2004,4.3
Italy,ITA,2005,4.3
Italy,ITA,2006,4.2
Italy,ITA,2007,4.3
Italy,ITA,2008,4.2
Italy,ITA,2009,3.9
Italy,ITA,2010,3.7
Italy,ITA,2011,3.4
Italy,ITA,2012,3.5
Italy,ITA,2013,3.2
Italy,ITA,2014,3.1
Italy,ITA,2015,3.2
Italy,ITA,2016,3.4
Italy,ITA,2017,3.2
Italy,ITA,2018,3.2
Italy,ITA,2019,3.1
Italy,ITA,2020,1.6
Italy,ITA,2021,3.1
Italy,ITA,2022,3.2
Japan,JPN,2000,6.4
Japan,JPN,2001,6.4
Japan,JPN,2002,6.0
Japan,JPN,2003,5.9
Japan,JPN,2004,5.7
Japan,JPN,2005,5.7
Japan,JPN,2006,5.8
Japan,JPN,2007,5.7
Japan,JPN,2008,5.8
Japan,JPN,2009,5.6
Japan,JPN,2010,5.5
Japan,JPN,2011,5.2
Japan,JPN,2012,5.3
Japan,JPN,2013,5.3
Japan,JPN,2014,5.1
Japan,JPN,2015,5.1
Japan,JPN,2016,5.0
Japan,JPN,2017,4.9
Japan,JPN,2018,4.7
Japan,JPN,2019,4.8
Japan,JPN,2020,4.3
Japan,JPN,2021,4.1
Japan,JPN,2022,4.1
Korea,KOR,2000,7.0
Korea,KOR,2001,6.7
Korea,KOR,2002,6.3
Korea,KOR,2003,6.3
Korea,KOR,2004,6.4
Korea,KOR,2005,6.5
Korea,KOR,2006,6.8
Korea,KOR,2007,7.0
Korea,KOR,2008,6.6
Korea,KOR,2009,6.2
Korea,KOR,2010,6.5
Korea,KOR,2011,6.6
Korea,KOR,2012,6.5
Korea,KOR,2013,6.4
Korea,KOR,2014,6.0
Korea,KOR,2015,5.9
Korea,KOR,2016,5.5
Korea,KOR,2017,5.2
Korea,KOR,2018,5.0
Korea,KOR,2019,4.7
Korea,KOR,2020,4.2
Korea,KOR,2021,3.8
Korea,KOR,2022,3.7
Latvia,LVA,2000,3.9
Latvia,LVA,2001,4.0
Latvia,LVA,2002,4.2
Latvia,LVA,2003,4.4
Latvia,LVA,2004,4.6
Latvia,LVA,2005,5.6
Latvia,LVA,2006,6.6
Latvia,LVA,2007,7.0
Latvia,LVA,2008,5.9
Latvia,LVA,2009,4.6
Latvia,LVA,2010,4.4
Latvia,LVA,2011,5.2
Latvia,LVA,2012,5.5
Latvia,LVA,2013,5.7
Latvia,LVA,2014,6.3
Latvia,LVA,2015,6.9
Latvia,LVA,2016,6.6
Latvia,LVA,2017,6.8
Latvia,LVA,2018,6.8
Latvia,LVA,2019,6.7
Latvia,LVA,2020,5.6
Latvia,LVA,2021,6.0
Latvia,LVA,2022,6.3
Lithuania,LTU,2000,4.8
Lithuania,LTU,2001,4.5
Lithuania,LTU,2002,4.7
Lithuania,LTU,2003,5.0
Lithuania,LTU,2004,5.7
Lithuania,LTU,2005,6.0
Lithuania,LTU,2006,6.5
Lithuania,LTU,2007,7.1
Lithuania,LTU,2008,7.5
Lithuania,LTU,2009,6.5
Lithuania,LTU,2010,6.0
Lithuania,LTU,2011,6.3
Lithuania,LTU,2012,6.9
Lithuania,LTU,2013,6.9
Lithuania,LTU,2014,7.6
Lithuania,LTU,2015,7.6
Lithuania,LTU,2016,7.4
Lithuania,LTU,2017,7.5
Lithuania,LTU,2018,7.0
Lithuania,LTU,2019,7.0
Lithuania,LTU,2020,5.5
Lithuania,LTU,2021,6.0
Lithuania,LTU,2022,5.7
Luxembourg,LUX,2000,4.9
Luxembourg,LUX,2001,4.5
Luxembourg,LUX,2002,4.5
Luxembourg,LUX,2003,4.4
Luxembourg,LUX,2004,4.4
Luxembourg,LUX,2005,4.4
Luxembourg,LUX,2006,4.1
Luxembourg,LUX,2007,4.1
Luxembourg,LUX,2008,3.9
Luxembourg,LUX,2009,3.5
Luxembourg,LUX,2010,3.5
Luxembourg,LUX,2011,3.3
Luxembourg,LUX,2012,3.4
Luxembourg,LUX,2013,3.2
Luxembourg,LUX,2014,3.0
Luxembourg,LUX,2015,3.6
Luxembourg,LUX,2016,3.2
Luxembourg,LUX,2017,3.2
Luxembourg,LUX,2018,3.1
Luxembourg,LUX,2019,3.5
Luxembourg,LUX,2020,2.9
Luxembourg,LUX,2021,3.0
Luxembourg,LUX,2022,3.8
Mexico,MEX,2000,7.0
Mexico,MEX,2001,6.5
Mexico,MEX,2002,6.0
Mexico,MEX,2003,5.6
Mexico,MEX,2004,5.7
Mexico,MEX,2005,5.6
Mexico,MEX,2006,5.4
Mexico,MEX,2007,5.4
Mexico,MEX,2008,5.3
Mexico,MEX,2009,5.0
Mexico,MEX,2010,5.0
Mexico,MEX,2011,4.9
Mexico,MEX,2012,5.0
Mexico,MEX,2013,4.9
Mexico,MEX,2014,4.8
Mexico,MEX,2015,4.6
Mexico,MEX,2016,4.4
Mexico,MEX,2017,4.2
Mexico,MEX,2018,4.0
Mexico,MEX,2019,4.0
Mexico,MEX,2020,2.7
Mexico,MEX,2021,3.6
Mexico,MEX,2022,3.9
Netherlands,NLD,2000,5.5
Netherlands,NLD,2001,5.0
Netherlands,NLD,2002,5.2
Netherlands,NLD,2003,4.9
Netherlands,NLD,2004,4.4
Netherlands,NLD,2005,4.4
Netherlands,NLD,2006,4.4
Netherlands,NLD,2007,4.3
Netherlands,NLD,2008,4.5
Netherlands,NLD,2009,4.4
Netherlands,NLD,2010,4.5
Netherlands,NLD,2011,4.3
Netherlands,NLD,2012,4.2
Netherlands,NLD,2013,3.8
Netherlands,NLD,2014,3.9
Netherlands,NLD,2015,3.8
Netherlands,NLD,2016,3.8
Netherlands,NLD,2017,3.8
Netherlands,NLD,2018,3.7
Netherlands,NLD,2019,3.7
Netherlands,NLD,2020,2.9
Netherlands,NLD,2021,3.2
Netherlands,NLD,2022,4.0
New Zealand,NZL,2000,5.35
New Zealand,NZL,2001,5.14
New Zealand,NZL,2002,5.24
New Zealand,NZL,2003,5.32
New Zealand,NZL,2004,5.14
New Zealand,NZL,2005,5.01
New Zealand,NZL,2006,5.21
New Zealand,NZL,2007,5.16
New Zealand,NZL,2008,5.23
New Zealand,NZL,2009,5.09
New Zealand,NZL,2010,4.87
New Zealand,NZL,2011,4.68
New Zealand,NZL,2012,4.72
New Zealand,NZL,2013,4.35
New Zealand,NZL,2014,4.44
New Zealand,NZL,2015,4.277719407337521
New Zealand,NZL,2016,4.2442738484772216
New Zealand,NZL,2017,4.256610762424118
New Zealand,NZL,2018,4.2396583825791305
New Zealand,NZL,2019,3.783628283469566
New Zealand,NZL,2020,3.285876547078176
New Zealand,NZL,2021,3.06
New Zealand,NZL,2022,3.68
Norway,NOR,2000,5.0
Norway,NOR,2001,4.4
Norway,NOR,2002,4.5
Norway,NOR,2003,4.9
Norway,NOR,2004,4.1
Norway,NOR,2005,4.8
Norway,NOR,2006,4.7
Norway,NOR,2007,5.0
Norway,NOR,2008,5.3
Norway,NOR,2009,5.0
Norway,NOR,2010,4.8
Norway,NOR,2011,4.6
Norway,NOR,2012,4.8
Norway,NOR,2013,4.7
Norway,NOR,2014,4.6
Norway,NOR,2015,4.5
Norway,NOR,2016,4.5
Norway,NOR,2017,4.4
Norway,NOR,2018,4.3
Norway,NOR,2019,4.0
Norway,NOR,2020,3.3
Norway,NOR,2021,2.96
Norway,NOR,2022,3.8
Poland,POL,2000,5.5
Poland,POL,2001,5.1
Poland,POL,2002,5.0
Poland,POL,2003,5.1
Poland,POL,2004,5.0
Poland,POL,2005,5.4
Poland,POL,2006,5.9
Poland,POL,2007,6.5
Poland,POL,2008,6.8
Poland,POL,2009,6.6
Poland,POL,2010,6.0
Poland,POL,2011,5.4
Poland,POL,2012,5.4
Poland,POL,2013,4.7
Poland,POL,2014,5.0
Poland,POL,2015,5.0
Poland,POL,2016,5.1
Poland,POL,2017,5.1
Poland,POL,2018,5.1
Poland,POL,2019,4.8
Poland,POL,2020,3.8
Poland,POL,2021,4.5
Poland,POL,2022,4.2
Portugal,PRT,2000,6.2
Portugal,PRT,2001,5.6
Portugal,PRT,2002,5.4
Portugal,PRT,2003,5.1
Portugal,PRT,2004,4.7
Portugal,PRT,2005,4.6
Portugal,PRT,2006,4.5
Portugal,PRT,2007,4.4
Portugal,PRT,2008,4.1
Portugal,PRT,2009,3.8
Portugal,PRT,2010,3.8
Portugal,PRT,2011,3.4
Portugal,PRT,2012,3.3
Portugal,PRT,2013,3.1
Portugal,PRT,2014,3.0
Portugal,PRT,2015,3.1
Portugal,PRT,2016,3.1
Portugal,PRT,2017,3.3
Portugal,PRT,2018,3.4
Portugal,PRT,2019,3.2
Portugal,PRT,2020,1.8
Portugal,PRT,2021,2.8
Portugal,PRT,2022,3.5
Slovakia,SVK,2000,4.8
Slovakia,SVK,2001,4.4
Slovakia,SVK,2002,4.7
Slovakia,SVK,2003,4.8
Slovakia,SVK,2004,5.2
Slovakia,SVK,2005,4.9
Slovakia,SVK,2006,4.8
Slovakia,SVK,2007,5.1
Slovakia,SVK,2008,5.3
Slovakia,SVK,2009,4.9
Slovakia,SVK,2010,4.7
Slovakia,SVK,2011,4.7
Slovakia,SVK,2012,4.8
Slovakia,SVK,2013,4.7
Slovakia,SVK,2014,4.9
Slovakia,SVK,2015,5.3
Slovakia,SVK,2016,5.5
Slovakia,SVK,2017,5.8
Slovakia,SVK,2018,5.7
Slovakia,SVK,2019,5.4
Slovakia,SVK,2020,4.4
Slovakia,SVK,2021,4.8
Slovakia,SVK,2022,5.4
Slovenia,SVN,2000,3.6
Slovenia,SVN,2001,3.5
Slovenia,SVN,2002,3.5
Slovenia,SVN,2003,3.4
Slovenia,SVN,2004,3.3
Slovenia,SVN,2005,2.9
Slovenia,SVN,2006,3.2
Slovenia,SVN,2007,3.2
Slovenia,SVN,2008,3.3
Slovenia,SVN,2009,3.2
Slovenia,SVN,2010,3.2
Slovenia,SVN,2011,3.2
Slovenia,SVN,2012,3.4
Slovenia,SVN,2013,3.0
Slovenia,SVN,2014,3.2
Slovenia,SVN,2015,3.1
Slovenia,SVN,2016,3.2
Slovenia,SVN,2017,3.1
Slovenia,SVN,2018,3.5
Slovenia,SVN,2019,3.2
Slovenia,SVN,2020,2.5
Slovenia,SVN,2021,2.8
Slovenia,SVN,2022,3.2
Spain,ESP,2000,5.4
Spain,ESP,2001,5.1
Spain,ESP,2002,5.1
Spain,ESP,2003,5.0
Spain,ESP,2004,5.0
Spain,ESP,2005,4.7
Spain,ESP,2006,4.5
Spain,ESP,2007,4.4
Spain,ESP,2008,4.2
Spain,ESP,2009,3.7
Spain,ESP,2010,3.6
Spain,ESP,2011,3.4
Spain,ESP,2012,3.5
Spain,ESP,2013,3.3
Spain,ESP,2014,3.4
Spain,ESP,2015,3.6
Spain,ESP,2016,3.7
Spain,ESP,2017,3.7
Spain,ESP,2018,3.5
Spain,ESP,2019,3.5
Spain,ESP,2020,1.9
Spain,ESP,2021,3.1
Spain,ESP,2022,3.7
Sweden,SWE,2000,4.5
Sweden,SWE,2001,4.0
Sweden,SWE,2002,4.3
Sweden,SWE,2003,4.4
Sweden,SWE,2004,4.8
Sweden,SWE,2005,4.9
Sweden,SWE,2006,5.0
Sweden,SWE,2008,5.5
Sweden,SWE,2009,5.1
Sweden,SWE,2010,5.3
Sweden,SWE,2011,5.0
Sweden,SWE,2012,5.3
Sweden,SWE,2013,5.4
Sweden,SWE,2014,5.5
Sweden,SWE,2015,5.3
Sweden,SWE,2016,5.4
Sweden,SWE,2017,5.2
Sweden,SWE,2018,5.0
Sweden,SWE,2019,4.7
Sweden,SWE,2020,3.6
Sweden,SWE,2021,3.7
Sweden,SWE,2022,4.6
Switzerland,CHE,2000,5.5
Switzerland,CHE,2001,5.0
Switzerland,CHE,2002,5.5
Switzerland,CHE,2003,5.5
Switzerland,CHE,2004,5.3
Switzerland,CHE,2005,5.4
Switzerland,CHE,2006,5.3
Switzerland,CHE,2007,5.3
Switzerland,CHE,2008,5.4
Switzerland,CHE,2009,5.4
Switzerland,CHE,2010,5.5
Switzerland,CHE,2011,5.3
Switzerland,CHE,2012,5.3
Switzerland,CHE,2013,4.9
Switzerland,CHE,2014,5.1
Switzerland,CHE,2015,5.0
Switzerland,CHE,2016,5.0
Switzerland,CHE,2017,4.8
Switzerland,CHE,2018,4.8
Switzerland,CHE,2019,4.5
Switzerland,CHE,2020,4.1
Switzerland,CHE,2021,4.2
Switzerland,CHE,2022,4.7
Türkiye,TUR,2003,7.1
Türkiye,TUR,2004,9.2
Türkiye,TUR,2005,9.5
Türkiye,TUR,2006,9.2
Türkiye,TUR,2007,9.1
Türkiye,TUR,2008,9.0
Türkiye,TUR,2009,8.2
Türkiye,TUR,2010,8.0
Türkiye,TUR,2011,8.0
Türkiye,TUR,2012,8.0
Türkiye,TUR,2013,7.9
Türkiye,TUR,2014,7.8
Türkiye,TUR,2015,7.7
Türkiye,TUR,2016,7.5
Türkiye,TUR,2017,7.1
Türkiye,TUR,2018,6.8
Türkiye,TUR,2019,6.6
Türkiye,TUR,2020,5.84
Türkiye,TUR,2022,6.8
United Kingdom,GBR,2000,5.2
United Kingdom,GBR,2001,4.8
United Kingdom,GBR,2002,4.9
United Kingdom,GBR,2003,5.2
United Kingdom,GBR,2007,4.5
United Kingdom,GBR,2008,4.4
United Kingdom,GBR,2009,4.3
United Kingdom,GBR,2010,4.4
United Kingdom,GBR,2011,4.4
United Kingdom,GBR,2012,4.7
United Kingdom,GBR,2013,4.2
United Kingdom,GBR,2014,4.4
United Kingdom,GBR,2015,4.2
United Kingdom,GBR,2016,4.3
United Kingdom,GBR,2017,4.1
United Kingdom,GBR,2018,4.0
United Kingdom,GBR,2019,3.7
United Kingdom,GBR,2020,1.4
United States,USA,2000,8.2
United States,USA,2001,8.2
United States,USA,2002,8.0
United States,USA,2003,7.7
United States,USA,2004,7.8
United States,USA,2005,7.6
United States,USA,2006,7.5
United States,USA,2007,7.3
United States,USA,2008,7.1
United States,USA,2009,6.8
United States,USA,2010,6.8
United States,USA,2011,6.8
United States,USA,2012,6.8
United States,USA,2013,6.8
United States,USA,2014,6.9
United States,USA,2015,6.9
United States,USA,2016,7.0
United States,USA,2017,6.9
United States,USA,2018,6.5
United States,USA,2019,6.1
United States,USA,2020,5.1
United States,USA,2021,6.0
United States,USA,2022,6.2
China,CHN,2010,9.3
China,CHN,2011,9.3
China,CHN,2012,9.6
Russian Fed.,RUS,2010,8.5
Russian Fed.,RUS,2011,9.2
Russian Fed.,RUS,2012,8.5
Russian Fed.,RUS,2013,8.5
Argentina,ARG,2010,3.0
Argentina,ARG,2011,3.1
Argentina,ARG,2012,3.2
Argentina,ARG,2013,2.9
Argentina,ARG,2014,2.8
Argentina,ARG,2015,2.8
Argentina,ARG,2016,2.7
Argentina,ARG,2017,2.89
Argentina,ARG,2018,2.79
Bulgaria,BGR,2000,4.3
Bulgaria,BGR,2001,4.0
Bulgaria,BGR,2002,3.7
Bulgaria,BGR,2003,3.9
Bulgaria,BGR,2004,4.0
Bulgaria,BGR,2005,4.4
Bulgaria,BGR,2006,4.3
Bulgaria,BGR,2007,3.9
Bulgaria,BGR,2008,3.7
Bulgaria,BGR,2009,3.5
Bulgaria,BGR,2010,3.3
